p,coverage rate,avg length,method,F1 score,E size
10,1.0,0.4040614511416003,Data Splitting,0.13333333333333333,2
10,1.0,0.24278440054127468,Naive,0.35294117647058826,6
10,1.0,0.2899355177614455,Approx,0.4444444444444445,8
10,1.0,0.3459299468922447,Data Splitting,0.0,2
10,1.0,0.24331440851311006,Naive,0.2857142857142857,4
10,1.0,0.34421371179781585,Approx,0.25,8
10,1.0,0.3151901714469129,Data Splitting,0.0,2
10,1.0,0.28764931897057666,Naive,0.13333333333333333,2
10,0.75,0.3628759058360643,Approx,0.3333333333333333,8
10,1.0,0.40593159390749733,Data Splitting,0.125,2
10,0.6666666666666666,0.24504865820813118,Naive,0.33333333333333337,6
10,0.4,0.32393323808441254,Approx,0.5,10
10,1.0,0.2943333550000715,Data Splitting,0.25,4
10,0.5,0.2353455711413865,Naive,0.3333333333333333,8
10,1.0,0.3214943805485704,Approx,0.4210526315789473,10
10,0.0,0.354547936496799,Data Splitting,0.16666666666666669,2
10,1.0,0.2290998514264469,Naive,0.3076923076923077,4
10,1.0,0.3131568864207481,Approx,0.42857142857142855,6
10,1.0,0.300980034063643,Data Splitting,0.16666666666666669,2
10,0.0,0.23602930440730716,Naive,0.16666666666666669,2
10,0.75,0.34122302109630326,Approx,0.39999999999999997,8
10,1.0,0.2708852229414749,Data Splitting,0.14285714285714288,2
10,1.0,0.224630020216035,Naive,0.2666666666666667,4
10,1.0,0.3194134794619194,Approx,0.4,14
10,1.0,0.3907179584505337,Data Splitting,0.25,4
10,0.8,0.24979480067732088,Naive,0.4210526315789473,10
10,1.0,0.35058427086407895,Approx,0.4,12
10,1.0,0.34559855089229585,Data Splitting,0.14285714285714288,2
10,1.0,0.23927954809164576,Naive,0.2666666666666667,4
10,1.0,0.34217734284937207,Approx,0.5555555555555556,10
20,1.0,0.38834141028527464,Data Splitting,0.17391304347826084,4
20,1.0,0.2547715540006477,Naive,0.25,6
20,0.9090909090909091,0.3602475121207267,Approx,0.31249999999999994,22
20,1.0,0.3760047672418434,Data Splitting,0.16666666666666669,4
20,1.0,0.2585110352572822,Naive,0.16666666666666669,4
20,0.5,0.34605816752875457,Approx,0.3333333333333333,16
20,1.0,0.3342431710845445,Data Splitting,0.08695652173913045,2
20,1.0,0.2287214390801926,Naive,0.16666666666666669,4
20,0.75,0.3506699245407038,Approx,0.3333333333333333,16
20,1.0,0.3605187718812897,Data Splitting,0.08333333333333333,2
20,0.3333333333333333,0.2771953057433247,Naive,0.23076923076923078,6
20,1.0,0.34023250161765334,Approx,0.27586206896551724,12
20,0.5,0.357064367145168,Data Splitting,0.07142857142857144,4
20,0.8333333333333334,0.2489218885804263,Naive,0.3125,12
20,0.7647058823529411,0.3535967497879741,Approx,0.41860465116279066,34
20,1.0,0.34818242029884156,Data Splitting,0.07692307692307693,2
20,1.0,0.23335617149766402,Naive,0.14814814814814814,4
20,0.875,0.30227244196222164,Approx,0.42424242424242425,16
20,0.0,0.3369898140167761,Data Splitting,0.07407407407407407,2
20,0.6666666666666666,0.2697319253379033,Naive,0.20689655172413793,6
20,0.875,0.34254628047909885,Approx,0.29411764705882354,16
20,1.0,0.4440440247541841,Data Splitting,0.07999999999999999,2
20,0.4,0.28797082555230097,Naive,0.3448275862068966,10
20,0.75,0.36636463890654175,Approx,0.1875,16
20,1.0,0.4526826147295404,Data Splitting,0.07692307692307693,2
20,0.6666666666666666,0.2710435694463032,Naive,0.21428571428571425,6
20,1.0,0.32277631546929825,Approx,0.13333333333333333,10
20,1.0,0.34564517204558876,Data Splitting,0.08695652173913045,2
20,0.6666666666666666,0.25496369899439253,Naive,0.24000000000000002,6
20,0.8333333333333334,0.341861428070481,Approx,0.5882352941176471,24
50,1.0,0.3984278969189465,Data Splitting,0.0,2
50,0.6666666666666666,0.28231275255111865,Naive,0.09756097560975609,6
50,0.9444444444444444,0.361324085606452,Approx,0.21428571428571427,36
50,1.0,0.4753712592211674,Data Splitting,0.047619047619047616,2
50,0.6666666666666666,0.3000743650481053,Naive,0.13636363636363635,6
50,0.8571428571428571,0.3741044370279005,Approx,0.29090909090909095,28
50,0.0,0.670126955074046,Data Splitting,0.04878048780487806,2
50,0.6666666666666666,0.28563575623720805,Naive,0.13953488372093023,6
50,0.875,0.35984186537093643,Approx,0.24999999999999994,32
50,1.0,0.46644794381848487,Data Splitting,0.05555555555555555,4
50,0.6666666666666666,0.29360244286728815,Naive,0.1621621621621622,6
50,1.0,0.38178230807091035,Approx,0.339622641509434,38
50,1.0,0.4406455775217545,Data Splitting,0.04347826086956522,2
50,1.0,0.28147268883182647,Naive,0.23529411764705882,12
50,1.0,0.378184023267168,Approx,0.3125,38
50,1.0,0.4504365323547657,Data Splitting,0.048780487804878044,4
50,0.6666666666666666,0.27692214124076425,Naive,0.14285714285714288,6
50,0.8125,0.3561687627403104,Approx,0.2545454545454545,32
50,0.0,0.5859617567225424,Data Splitting,0.05405405405405406,2
50,0.6666666666666666,0.2847607551978451,Naive,0.10256410256410256,6
50,0.7692307692307693,0.3569787460830254,Approx,0.163265306122449,26
50,1.0,0.4822778425930525,Data Splitting,0.05128205128205127,2
50,0.2,0.30089086626815975,Naive,0.18604651162790697,10
50,0.9444444444444444,0.3747820440503138,Approx,0.2857142857142857,36
50,1.0,0.43706537268413276,Data Splitting,0.04347826086956522,2
50,0.0,0.30951305192688106,Naive,0.0851063829787234,4
50,0.7368421052631579,0.35542325015822973,Approx,0.28125,38
50,1.0,0.5528244482462821,Data Splitting,0.05128205128205129,4
50,1.0,0.28258891196188246,Naive,0.15,6
50,1.0,0.3635799073370235,Approx,0.20833333333333334,22
